CustomerID,CustomerName,Country,CustomerSegment,RegistrationDate
12347.0,Jessica Smith,Iceland,Wholesale,2010-12-07
12352.0,Teresa Aguilar,Norway,Retail,2011-09-20
12357.0,Angela Miranda,Switzerland,Retail,2011-11-06
12359.0,Andre Mccormick,Cyprus,Retail,2011-02-07
12362.0,Marcus Gilbert,Belgium,Online,2011-09-28
12370.0,Clayton Wilson,Cyprus,Retail,2010-12-14
12374.0,John Hanna,Austria,Online,2011-11-14
12375.0,Joshua Owens,Finland,Online,2011-11-29
12377.0,Ann Riley,Switzerland,Retail,2010-12-20
12378.0,Justin Newman,Switzerland,Retail,2011-08-02
12380.0,Mr. David Mahoney,Belgium,Wholesale,2011-06-07
12381.0,Joseph Smith,Norway,Retail,2011-08-12
12383.0,Abigail Thomas,Belgium,Retail,2011-01-12
12384.0,James Brown,Switzerland,Retail,2011-08-10
12388.0,Carly Grant,Australia,Retail,2011-07-14
12391.0,Timothy Wise,Cyprus,Wholesale,2011-11-18
12395.0,Brenda Torres,Belgium,Online,2011-05-05
12398.0,Donald Drake,Switzerland,Online,2011-10-25
12405.0,Christopher Blevins,Finland,Wholesale,2011-07-14
12408.0,Roy Williams,Belgium,Online,2011-03-24
12409.0,Gregory Peterson,Switzerland,Wholesale,2011-06-10
12410.0,Karen Patton,Switzerland,Retail,2011-02-04
12412.0,Robert Keith,Denmark,Retail,2011-06-23
12413.0,Richard Briggs,France,Retail,2011-01-06
12415.0,Caleb Lopez,Australia,Online,2011-01-06
12417.0,Bryan Moreno,Belgium,Retail,2011-08-04
12418.0,Karina Roth,Switzerland,Retail,2011-08-19
12423.0,Margaret Reed,Belgium,Online,2010-12-21
12428.0,Rhonda Moore,Finland,Wholesale,2011-03-01
12429.0,Debra Moore,Denmark,Retail,2011-11-30
12431.0,Michelle Leon,Australia,Retail,2011-01-28
12432.0,Benjamin Foster,Norway,Online,2011-10-28
12433.0,Dustin Johnson,Norway,Online,2010-12-01
12437.0,Anita Cantu,France,Wholesale,2011-02-23
12438.0,Emily Landry,Norway,Retail,2011-07-22
12444.0,David Jones,Norway,Online,2011-06-21
12448.0,Dakota Sanders,Spain,Online,2011-10-26
12449.0,Stacy Mason,Belgium,Retail,2011-08-02
12451.0,Heather Trevino,Switzerland,Online,2011-01-19
12455.0,Michaela Thompson,Cyprus,Online,2011-02-16
12457.0,Elizabeth Hess,Cyprus,Retail,2011-04-14
12462.0,Kathryn Ayala,Spain,Wholesale,2011-02-09
12463.0,Felicia Anderson,Belgium,Online,2011-05-17
12465.0,Tammy Kirby,Belgium,Retail,2011-06-23
12468.0,Frederick Smith,Germany,Online,2011-01-27
12471.0,Margaret Chang,Germany,Wholesale,2011-10-05
12472.0,Daniel Reynolds,Germany,Wholesale,2010-12-05
12473.0,Christine Carson,Germany,Wholesale,2011-06-01
12474.0,Shannon Choi,Germany,Wholesale,2011-01-14
12475.0,Tammy Henderson,Germany,Retail,2011-10-17
12476.0,Sarah Roberson,Germany,Online,2010-12-13
12477.0,David Jenkins,Germany,Retail,2011-08-31
12480.0,Destiny Wilson,Germany,Wholesale,2011-01-07
12481.0,Daniel Moran,Germany,Online,2010-12-20
12483.0,Amy Rich,Sweden,Online,2011-09-02
12484.0,Ricardo Martin,Spain,Retail,2011-01-07
12490.0,Benjamin Foster,France,Online,2011-01-14
12494.0,Michael Mendoza,France,Retail,2011-07-01
12501.0,John Campbell,Germany,Retail,2011-01-28
12502.0,Kyle Harris,Spain,Wholesale,2011-03-16
12508.0,Tara Ellis,France,Retail,2011-11-13
12517.0,Mary Solis,Germany,Online,2011-09-27
12518.0,Mary Garcia,Germany,Wholesale,2011-10-12
12520.0,Robert Brown,Germany,Online,2011-03-11
12524.0,Taylor Chapman,Germany,Wholesale,2011-05-19
12528.0,Nicole Forbes,Germany,Retail,2011-03-08
12530.0,Michael Rivera,Germany,Retail,2011-08-08
12534.0,Elizabeth Lee,Germany,Retail,2011-08-01
12535.0,Diana Ferguson,France,Online,2011-06-06
12536.0,Gina Cook,France,Wholesale,2011-10-11
12539.0,Derek Malone,Spain,Retail,2011-01-27
12540.0,Kimberly Holloway,Spain,Retail,2011-01-11
12541.0,Chad Johnson,Spain,Online,2011-03-04
12547.0,William Dickson,Spain,Retail,2011-03-04
12550.0,Wanda Black,Spain,Retail,2011-09-21
12551.0,Jose Jones,Spain,Retail,2010-12-17
12552.0,Elizabeth Wolfe,Italy,Wholesale,2011-10-31
12553.0,Colleen Gordon,France,Retail,2011-03-04
12556.0,Rita Vega,Spain,Online,2011-07-11
12557.0,Justin Martin,Spain,Retail,2011-07-04
12560.0,Dr. Travis Taylor MD,Germany,Online,2011-07-19
12567.0,Brianna Rush,France,Wholesale,2011-06-08
12569.0,Christopher Hunter,Germany,Wholesale,2011-04-01
12571.0,Patricia Castaneda,France,Retail,2011-10-31
12576.0,Michael Hoffman,Poland,Wholesale,2011-11-04
12578.0,Linda Griffin,Italy,Wholesale,2011-01-27
12583.0,Timothy Hines,France,Online,2010-12-01
12585.0,Stacey Munoz,Germany,Retail,2010-12-23
12588.0,Darren Pratt,Finland,Retail,2011-10-31
12597.0,Todd Barker,Spain,Wholesale,2011-06-09
12599.0,Johnathan Williams,France,Retail,2011-11-10
12600.0,Bobby Carter,Germany,Wholesale,2011-04-28
12607.0,Brittany Rhodes,USA,Retail,2011-10-10
12610.0,Melissa Norton,Italy,Wholesale,2011-08-05
12611.0,Heather Watson,Italy,Retail,2011-10-18
12612.0,Mark Lewis,Germany,Online,2011-09-26
12613.0,William Oliver,Germany,Wholesale,2011-10-13
12614.0,Kathryn Anderson,Germany,Wholesale,2011-03-07
12615.0,Marilyn Williams,France,Wholesale,2011-06-24
12619.0,Julie Harper,Germany,Wholesale,2011-07-14
12620.0,James Osborne,France,Online,2011-05-19
12621.0,Adam Edwards,Germany,Wholesale,2011-02-14
12625.0,Mrs. Lindsay Grimes,Germany,Wholesale,2011-05-12
12626.0,Linda Medina,Germany,Retail,2011-01-17
12627.0,Jack House,Germany,Wholesale,2011-07-22
12630.0,Maria Bryant,Finland,Online,2011-10-27
12635.0,Sherri Coffey,Germany,Retail,2011-09-11
12637.0,Jennifer Lee,France,Wholesale,2011-04-14
12639.0,Sean Thompson,Sweden,Online,2011-04-15
12647.0,Laurie Boone,Germany,Online,2011-07-07
12656.0,Nicole Matthews,France,Wholesale,2011-08-15
12662.0,Kayla Ramsey,Germany,Wholesale,2011-07-19
12669.0,Jacqueline Garcia,France,Wholesale,2011-03-28
12670.0,Sarah Flowers,France,Retail,2011-04-21
12674.0,Richard Freeman,France,Retail,2011-11-01
12678.0,Bonnie Carrillo,France,Wholesale,2011-04-04
12681.0,Michael Rogers,France,Wholesale,2010-12-07
12682.0,Michelle Kelly,France,Retail,2011-03-14
12683.0,Chelsea Kennedy,France,Online,2011-05-03
12684.0,Tanya Flores,France,Retail,2011-05-10
12685.0,Joseph Ryan,France,Wholesale,2011-09-08
12689.0,Angelica Gonzalez DDS,France,Wholesale,2011-08-04
12693.0,James Neal,Germany,Online,2011-05-12
12700.0,Allen Arellano,France,Wholesale,2011-10-05
12705.0,Brett Brown,Germany,Online,2010-12-17
12707.0,Jessica Morgan,France,Retail,2011-02-21
12708.0,Tara Espinoza,Germany,Wholesale,2011-01-14
12709.0,Carol Compton,Germany,Retail,2011-01-25
12712.0,Kyle Dorsey,Germany,Online,2011-05-10
12714.0,Michele Howe,France,Online,2011-02-18
12716.0,Brittney Mccall,France,Retail,2011-07-29
12717.0,Jesse Wallace,Greece,Online,2011-04-08
12720.0,Gabrielle Adams,Germany,Wholesale,2010-12-05
12721.0,Jenna Jennings,France,Retail,2011-02-09
12723.0,David Mitchell DVM,France,Online,2011-10-05
12727.0,Brooke Hall,France,Wholesale,2011-11-29
12731.0,Tammy Gomez,France,Wholesale,2011-05-11
12743.0,Jessica Wallace,Unspecified,Online,2011-07-28
12744.0,Penny Robbins,Singapore,Retail,2011-01-25
12748.0,Andrea Sanchez,United Kingdom,Retail,2010-12-05
12749.0,Michelle Washington,United Kingdom,Wholesale,2011-08-01
12753.0,Tina Schwartz,Japan,Retail,2011-01-06
12754.0,Erin Roth,Japan,Retail,2011-02-04
12757.0,Renee Fleming,Portugal,Wholesale,2011-10-06
12766.0,Randy Marsh,Portugal,Retail,2010-12-08
12775.0,Brenda Bennett,Netherlands,Retail,2011-03-22
12779.0,Chad Turner,Poland,Online,2011-04-05
12783.0,Robert Burke III,Portugal,Retail,2011-09-25
12784.0,Tiffany Heath,Portugal,Online,2011-11-24
12785.0,Shane Jackson,Portugal,Wholesale,2010-12-10
12790.0,Crystal Wright,Netherlands,Wholesale,2011-05-31
12793.0,Roger Cabrera,Portugal,Wholesale,2011-01-09
12794.0,Kristina Thomas,Portugal,Retail,2011-10-17
12809.0,Daniel Castro,Portugal,Online,2011-06-15
12811.0,Daniel Ramsey,Portugal,Wholesale,2011-02-28
12818.0,Meghan Stone,Austria,Retail,2011-03-23
12822.0,Corey Walker,United Kingdom,Online,2011-09-30
12831.0,Alicia Cox,United Kingdom,Wholesale,2011-03-22
12833.0,Michael Smith,United Kingdom,Retail,2011-07-17
12836.0,Javier Hahn,United Kingdom,Retail,2011-05-04
12837.0,Kelly Sherman,United Kingdom,Wholesale,2011-06-19
12838.0,Phyllis Elliott,United Kingdom,Retail,2011-11-06
12839.0,Kevin Smith,United Kingdom,Online,2010-12-07
12840.0,Becky Montes,United Kingdom,Wholesale,2011-04-27
12841.0,Olivia Foster,United Kingdom,Online,2010-12-03
12843.0,Jeffrey Rodriguez,United Kingdom,Retail,2011-07-03
12844.0,Scott Lynch,United Kingdom,Wholesale,2011-11-10
12847.0,Michelle Buchanan,United Kingdom,Retail,2011-11-17
12851.0,Crystal Brown,United Kingdom,Online,2011-09-04
12853.0,Cameron Leonard,United Kingdom,Online,2011-07-28
12854.0,Jordan Mcbride,United Kingdom,Wholesale,2011-01-25
12856.0,Alicia Williams,United Kingdom,Retail,2011-10-07
12857.0,Amanda Webster,United Kingdom,Online,2011-02-10
12865.0,Crystal Dean,Austria,Retail,2011-11-13
12866.0,Stephanie Sanchez,Belgium,Wholesale,2011-03-01
12867.0,Dennis Butler,United Kingdom,Retail,2011-02-14
12868.0,Kelly Smith,United Kingdom,Wholesale,2011-01-27
12876.0,Matthew Blevins,Belgium,Online,2011-05-27
12877.0,Susan Graves,United Kingdom,Retail,2011-08-07
12885.0,Lori Obrien,United Kingdom,Wholesale,2011-08-08
12890.0,Jessica Graham,United Kingdom,Online,2011-11-15
12901.0,Dustin Davis,United Kingdom,Wholesale,2011-07-01
12909.0,Sandra Gross,United Kingdom,Wholesale,2011-05-22
12913.0,Gabriela Rose,United Kingdom,Retail,2011-11-24
12916.0,Mary Ortiz,United Kingdom,Retail,2011-01-23
12919.0,Clayton Rodriguez,United Kingdom,Retail,2011-11-08
12921.0,Erin Matthews,United Kingdom,Online,2010-12-08
12925.0,Cheryl Holmes,United Kingdom,Retail,2011-09-26
12931.0,Evan Hunt,United Kingdom,Retail,2011-10-03
12935.0,Theresa May,United Kingdom,Online,2011-05-20
12937.0,Nicholas Austin,United Kingdom,Retail,2011-03-17
12938.0,Seth Jones,United Kingdom,Online,2011-11-14
12940.0,Joanne Carr,United Kingdom,Wholesale,2011-10-16
12942.0,Andrew Bishop,United Kingdom,Retail,2011-07-31
12945.0,Matthew Haynes,United Kingdom,Retail,2011-02-24
12947.0,Kenneth Adams,United Kingdom,Online,2011-01-07
12948.0,Nicole Wilkins,United Kingdom,Online,2011-03-20
12951.0,Timothy Johnson,United Kingdom,Retail,2011-01-13
12955.0,Gail Daniels,United Kingdom,Online,2011-09-08
12957.0,Anita Townsend,United Kingdom,Retail,2011-06-06
12963.0,Patty Smith,United Kingdom,Retail,2011-10-17
12965.0,Ryan Grant,United Kingdom,Retail,2011-09-11
12971.0,Michael Cabrera,United Kingdom,Retail,2011-02-17
12977.0,Alicia Bryant,United Kingdom,Wholesale,2011-07-06
12980.0,Gregory Cook,United Kingdom,Wholesale,2011-06-05
12985.0,Michael Johnson,United Kingdom,Online,2011-11-11
12988.0,Ian Garner,United Kingdom,Wholesale,2011-02-20
12989.0,Derek Moore,United Kingdom,Retail,2011-03-18
12991.0,Kristina Snyder,United Kingdom,Online,2011-08-19
13001.0,Richard Potter,United Kingdom,Wholesale,2011-02-16
13004.0,Sara Fisher,United Kingdom,Wholesale,2011-02-28
13008.0,Joshua Weber,United Kingdom,Online,2011-01-20
13013.0,Michelle Jackson,United Kingdom,Online,2010-12-03
13015.0,Jonathan Taylor,United Kingdom,Wholesale,2011-05-26
